x;y;z;rho_b
46;53;40;0.444456
47;53;40;0.464398
48;53;40;0.4745
49;53;40;0.478181
50;53;40;0.47694
51;53;40;0.470299
52;53;40;0.455676
53;53;40;0.428114
54;53;40;0.380614
55;53;40;0.305428
56;53;40;0.206665
57;53;40;0.108306
58;53;40;0.0420854
59;53;40;0.012482
40;54;40;0.0135699
41;54;40;0.0424406
42;54;40;0.1034
43;54;40;0.192488
44;54;40;0.282743
45;54;40;0.354594
46;54;40;0.402242
47;54;40;0.431044
48;54;40;0.44637
49;54;40;0.452143
50;54;40;0.45018
51;54;40;0.439899
52;54;40;0.41818
53;54;40;0.380614
54;54;40;0.320671
55;54;40;0.237912
56;54;40;0.14457
57;54;40;0.0675964
58;54;40;0.0242769
59;54;40;0.00700517
40;55;40;0.0066841
41;55;40;0.0215148
42;55;40;0.0571307
43;55;40;0.120013
44;55;40;0.199817
45;55;40;0.274768
46;55;40;0.332931
47;55;40;0.371463
48;55;40;0.393481
49;55;40;0.40232
50;55;40;0.399332
51;55;40;0.383925
52;55;40;0.353964
53;55;40;0.305428
54;55;40;0.237912
55;55;40;0.158075
56;55;40;0.0844006
57;55;40;0.0355618
58;55;40;0.0120374
41;56;40;0.00934937
42;56;40;0.0260601
43;56;40;0.0604458
44;56;40;0.114067
45;56;40;0.177255
46;56;40;0.235006
47;56;40;0.279047
48;56;40;0.306666
49;56;40;0.318116
50;56;40;0.31417
51;56;40;0.294556
52;56;40;0.25835
53;56;40;0.206665
54;56;40;0.14457
55;56;40;0.0844006
56;56;40;0.0402488
57;56;40;0.0156975
58;56;40;0.00520729
42;57;40;0.0099779
43;57;40;0.0244011
44;57;40;0.0506009
45;57;40;0.0878833
46;57;40;0.129779
